Name,Korean Name,Exist,Rank
Admiral,일섭,1,201
Agent S,2호,1,151
Agnes,아그네스,0,181
Al,우락,1,366
Alfonso,알베르트,1,218
Alice,멜버른,1,131
Alli,크로크,1,383
Amelia,안데스,1,232
Anabelle,아롱이,1,396
Anchovy,안쵸비,1,240
Angus,반데스,1,384
Anicotti,라자냐,1,402
Ankha,클레오,1,103
Annalisa,설백,0,354
Annalise,실부플레,0,316
Antonio,퍼머거,1,197
Apollo,아폴로,1,54
Apple,애플,0,8
Astrid,펑키맘,1,303
Audie,모니카,0,52
Aurora,오로라,1,105
Ava,에바,1,344
Avery,쿠스케처,1,346
Axel,엑스엘리,1,269
Baabara,트로와,1,292
Bam,록키,0,156
Bangle,루주,1,316
Barold,곰시,0,249
Bea,베이글,1,170
Beardo,베어드,0,265
Beau,피터,0,12
Becky,아리아,1,391
Bella,이자벨,1,184
Benedict,페니실린,1,296
Benjamin,땡칠이,0,129
Bertha,베티,1,375
Bettina,마르카,1,208
Bianca,백희,0,202
Biff,가브리엘,1,332
Big Top,3호,1,220
Bill,코코아,1,45
Billy,힘드러,1,200
Biskit,로빈,1,239
Bitty,비티,1,352
Blaire,실루엣,1,132
Blanche,신옥,0,76
Bluebear,글루민,1,30
Bob,히죽,1,108
Bonbon,미미,0,179
Bones,토미,1,100
Boomer,팽기,1,293
Boone,만복이,1,298
Boots,풍작,1,358
Boris,보리,1,316
Boyd,보이드,1,363
Bree,사라,1,70
Broccolo,브로콜리,1,104
Broffina,히킨,0,410
Bruce,브루스,0,115
Bubbles,차코,1,375
Buck,바야시코프,1,340
Bud,선글,1,274
Bunnie,릴리안,1,57
Butch,존,1,110
Buzz,근엄,1,276
Cally,파슬리,1,149
Camofrog,충성,1,275
Canberra,캔버라,0,187
Candi,사탕,1,285
Carmen,초코,1,146
Caroline,캐롤라인,1,142
Carrie,마미,1,372
Cashmere,캐시미어,1,394
Celia,티파니,0,293
Cesar,앨런,1,305
Chadder,치즈,0,141
Charlise,챠미,0,215
Cheri,아세로라,1,85
Cherry,한나,0,136
Chester,팬타,1,75
Chevre,윤이,1,251
Chief,대장,1,34
Chops,돈후앙,0,390
Chow,츄양,1,385
Chrissy,크리스틴,1,31
Claude,비니거,1,314
Claudia,신디,0,410
Clay,햄둥,0,217
Cleo,아이소토프,1,357
Clyde,마철이,1,396
Coach,철소,0,353
Cobb,박사,1,405
Coco,이요,1,225
Cole,아마민,0,147
Colton,안소니,0,140
Cookie,베리,1,148
Cousteau,왕서방,1,354
Cranston,타키,0,282
Croque,투투,0,371
Cube,빙수,1,153
Curlos,카를로스,0,338
Curly,햄까스,1,224
Curt,뚝심,1,162
Cyd,펑크스,0,127
Cyrano,사지마,1,309
Daisy,바닐라,1,62
Deena,마리모,1,183
Deirdre,나디아,0,84
Del,파도맨,1,234
Deli,델리,0,214
Derwin,봉,1,272
Diana,나탈리,0,14
Diva,아이다,0,116
Dizzy,휴지,1,71
Dobie,켄,0,74
Doc,토니,1,282
Dom,차둘,0,37
Dora,티미,1,176
Dotty,서머,1,50
Drago,용남이,0,254
Drake,푸아그라,1,313
Drift,덕,1,324
Ed,꺼벙,1,369
Egbert,김희,1,410
Elise,몽자,1,298
Ellie,에끌레르,1,169
Elmer,샤브렌,1,351
Eloise,엘레핀,1,192
Elvis,킹,1,152
Erik,자끄,0,118
Eugene,코알,0,220
Eunice,곱슬이,1,247
Fang,시베리아,1,5
Fauna,솔미,0,41
Felicity,예링,1,60
Filbert,리키,1,73
Flip,원승,0,321
Flo,레이라,0,304
Flora,플라라,0,133
Flurry,뽀야미,0,9
Francine,프랑소와,1,29
Frank,헐크,0,377
Freckles,다랑어,1,228
Freya,산드라,1,89
Friga,사브리나,1,280
Frita,웬디,0,120
Frobert,구리구리,1,328
Fuchsia,제시카,0,48
Gabi,패티카,1,297
Gala,꽃지,1,109
Gaston,대길,1,119
Gayle,앨리,0,196
Genji,토시,1,69
Gigi,린다,1,298
Gladys,빅토리아,1,166
Gloria,마릴린,1,229
Goldie,카라멜,1,81
Gonzo,근성,1,243
Goose,건태,1,193
Graham,글라햄,0,182
Greta,복자,0,194
Grizzly,무뚝,1,234
Groucho,거무틱,1,302
Gruff,빌리,1,367
Gwen,폴라,1,241
Hamlet,햄스틴,0,68
Hamphrey,햄쥐,0,117
Hans,스나일,0,340
Harry,올리버,1,410
Hazel,아이리스,0,56
Henry,헨리,0,173
Hippeux,데이빗,0,404
Hopkins,홉킨스,1,248
Hopper,달만이,1,218
Hornsby,뿌람,1,332
Huck,스트로,1,334
Hugh,먹고파,1,379
Iggly,김말이,1,145
Ike,대공,0,370
Jacob,야곱,1,208
Jacques,쪼끼,0,258
Jambette,에스메랄다,1,387
Jay,참돌이,1,225
Jeremiah,드리미,1,188
Jitters,딩요,1,405
Joey,리처드,1,47
Judy,미애,0,7
Julia,줄리아,0,233
Julian,유니오,0,99
June,메이,0,65
Kabuki,가북희,1,164
Katt,쵸이,0,95
Keaton,프랭크,0,343
Ken,오골,0,195
Ketchup,케첩,1,86
Kevin,멧지,0,334
Kid Cat,1호,1,49
Kidd,염두리,0,256
Kiki,캐비어,1,154
Kitt,애플리케,1,284
Kitty,쇼콜라,1,210
Klaus,곰도로스,0,305
Knox,금끼오,1,212
Kody,아이다호,1,191
Kyle,리카르도,0,91
Leonardo,범호,1,238
Leopold,티처,1,373
Lily,레이니,1,59
Limberg,단무지,1,337
Lionel,라이오넬,0,261
Lobo,늑태,1,83
Lolly,사이다,1,10
Lopez,톰슨,0,102
Louie,머슬,1,223
Lucha,마스카라스,0,344
Lucky,럭키,1,101
Lucy,루시,1,271
Lyman,오즈먼드,0,254
Mac,챔프,1,222
Maddie,마롱,1,178
Maelle,앤,1,180
Maggie,마가렛,1,368
Mallary,스미모,1,227
Maple,메이첼,1,39
Marcel,에드워드,1,311
Marcie,마리아,0,277
Margie,샐리,1,143
Marina,문리나,1,113
Marshal,쭈니,0,3
Mathilda,안젤라,1,273
Megan,캔디,0,78
Melba,아델레이드,1,171
Merengue,스트로베리,0,79
Merry,유네찌,1,122
Midge,핑글이,1,190
Mint,민트,1,137
Mira,미랑,0,94
Miranda,미란다,1,268
Mitzi,마르,1,126
Moe,진상,1,242
Molly,귀오미,0,36
Monique,제인,1,263
Monty,몽티,1,364
Moose,핑,1,401
Mott,릭,1,405
Muffy,프릴,0,93
Murphy,머피,1,92
Nan,순이,1,320
Nana,키키,1,250
Naomi,화자,0,385
Nate,박하스,1,206
Nibbles,그리미,1,230
Norma,미자,0,374
O'Hare,산토스,0,158
Octavian,문복,1,328
Olaf,안토니오,0,295
Olive,올리브,1,185
Olivia,올리비아,1,64
Opal,오팔,1,264
Ozzie,동동이,1,347
Pancetti,브리트니,0,257
Pango,패트라,1,394
Paolo,파올로,1,211
Papi,마사마,0,203
Pashmina,바바라,0,168
Pate,나키,1,134
Patty,밀크,1,354
Paula,레이첼,1,279
Peaches,말자,1,347
Peanut,핑키,1,121
Pecan,레베카,1,159
Peck,문대,0,163
Peewee,덤벨,1,311
Peggy,체리,1,253
Pekoe,재스민,1,55
Penelope,찍순이,0,236
Phil,케인,0,349
Phoebe,휘니,0,139
Pierce,세바스찬,1,216
Pietro,피엘,0,177
Pinky,링링,1,289
