Korean Name,Mention Count,Viral
쭈니,984,2160.9809667290765
패치,183,1222.2634419368026
미미,11,199.7965819253934
신디,59,195.10387678860735
사이다,317,1632.1293431787428
미애,404,1550.3075999382359
근엄,6,165.2730264906954
잭슨,924,2094.246584857946
봉,9,105.32682581332703
뽀야미,1038,2284.050602758694
문대,208,292.7609474120992
루주,33,342.05015134318046
미첼,233,1401.1421946683004
가브리엘,26,247.3578688729717
젤리,109,728.1179577605232
애플,406,1873.8345188806175
힘드러,33,221.42044882378565
곰비,24,165.59385382786527
코알,11,179.44916336891748
나탈리,127,905.2849851317266
탁호,214,1122.94546268804
글루민,72,786.6666979803574
비앙카,187,1113.1802073503782
민트,16,160.52718707388456
귀오미,150,1146.2445721532492
대장,67,662.7695768235561
존,24,288.00503640664175
부케,278,1336.0128988035335
럭키,25,220.45772543553994
에바,21,287.2371611931717
서머,80,531.323711976946
다람,34,452.8346937189491
머피,24,323.8902582929367
릴리,94,941.9243544512855
눈송이,18,198.58147954460824
아폴로,67,580.8896840295346
충성,12,225.36035569286187
아이리스,49,549.4333375553605
사라,30,348.58829315923145
이요,101,560.8381841215908
말자,16,315.52439493760227
밥,44,495.49549193766387
체리,12,218.50064082847229
한나,50,283.48944119270084
사탕,5,96.84980954419912
티미,23,213.7099013247933
베리,42,332.3485260113612
마이크,10,228.8487969499078
참돌이,25,119.3763546990184
야곱,17,119.89049185809719
파이프,25,210.11555924252437
멜버른,14,182.21063605948012
리키,48,460.11153097993065
뿌람,13,179.85488750590156
김말이,18,227.97979649677154
휘니,40,184.21121316699578
샨티,12,202.54474562542015
아잠만,72,397.1785110064311
토니,112,128.0192328497141
아마민,16,182.70953104263612
브루스,14,211.23657673818744
파도맨,6,159.61447801560027
몽자,22,292.1232766612979
솔미,181,939.5038773235751
빌리,17,234.42766443104256
핀틱,15,157.18586339870774
산토스,21,216.2384959487035
에이프릴,58,306.04845151318926
나키,17,140.22041888538277
바닐라,77,571.1054268214065
닌토,32,316.99605174406094
마스카라스,69,239.11072154453478
스미모,5,67.83910930636921
레이라,22,217.06234319220297
줄리아,15,189.55180521061152
스쿼트,7,161.46358650103642
탱크,14,208.99251316376822
밴덤,15,216.20329065396078
슈베르트,13,180.49694366432908
햄스틴,54,471.0401278080233
딩요,10,128.4129032582656
릴리안,70,551.511685193526
피엘,17,244.62254643314145
캔버라,23,126.87111546477061
퍼머거,62,295.67889366729
피터,296,1045.9920300982708
아이다,271,1024.4047188500504
병태,50,311.7610783820818
사지마,8,158.29848629561548
2호,32,217.1293161723486
마가렛,4,99.34133143319565
브리트니,5,149.01784327253526
금끼오,1,34.44446571543845
베이글,6,161.244991852547
펭수,52,353.5848401538757
단무지,11,148.40439281232625
코코아,65,572.2800130460074
토미,12,91.37778385276827
윤이,15,97.5495719638776
킹,33,436.547706369667
빅토리아,23,118.97774369091835
쵸이,45,392.25769784574095
오팔,3,95.93700415843487
모리스,11,209.1592499115414
푸아그라,19,178.24968500792136
크리스틴,62,576.8517338707325
우띠,12,154.93407930648974
케첩,27,292.9137005123233
패티카,4,95.93700415843487
근성,5,96.15574933633691
곰시,10,212.46953010104318
오로라,35,260.9870142047316
로빈,7,96.27437165026329
메이,32,446.5935105007204
모니카,189,1043.2878889010562
선글,4,92.56057584398482
줌마,15,329.1895471232003
재스민,29,348.638389953928
세바스찬,46,216.5101498713118
오골,9,97.5495719638776
핑,9,179.26747018746528
벤,19,193.51549064218005
아세로라,48,376.31825342674034
조르쥐,19,129.05179409070402
진상,12,188.33356320396445
1호,80,729.5956004112928
꽃지,18,154.70412356786278
래미,86,670.1691505627781
페니실린,17,198.5122743410233
실바나,79,184.34698753058183
유네찌,21,244.1577657725541
헤르츠,45,221.22350383539307
주디,19,130.26808524294523
연유,15,214.08512107308678
브로콜리,23,272.4404068260229
피스,19,159.3607497838205
리아나,36,381.3979786604458
스파크,9,126.4722848231406
베어드,11,131.23503242615553
치즈,13,210.71835732327045
엘레핀,20,211.94265939430326
톰슨,18,195.06374114380384
