영상ID,제목,조회수,댓글수,좋아요수,썸네일,영상설명,바이럴지표
aQmPii0oqCs,[ACNH]DUMB DUMB,45126319,5672,1075908,https://i.ytimg.com/vi/aQmPii0oqCs/hqdefault.jpg,#acnh #meme #isabelle,5.67E+18
aSxBnPugHJ8,쭈니가 K.K. 아이돌 부르는 영상 [VR360],8193437,10368,211460,https://i.ytimg.com/vi/aSxBnPugHJ8/hqdefault.jpg,쭈니,1.04E+17
5-bvqy5Dxjo,동물의 숲에서 가장 귀여운 주민 누구?,3241681,2770,37482,https://i.ytimg.com/vi/5-bvqy5Dxjo/hqdefault.jpg,뽀야미,2.77E+15
ua8_fy-BFac,모동숲으로 만든 겨울왕국 - Let it go,7697302,2759,60377,https://i.ytimg.com/vi/ua8_fy-BFac/hqdefault.jpg,"생일날 받은 엘사 케이크를 보고 아이디어가 떠올라서 제작해보았습니다!
 재미로 봐주세요!
 
 ❄로나딩 마이디자인 ID : MA-9411-8985-5468
 
 ❄엘사 드레스 장갑 둘다 있는 버전 : MO-0P03-L5T3-5BXH
 ❄엘사 드레스 장갑 한쪽만 : MO-MRWT-CJY9-60CW
 ❄엘사 드레스 장갑X : MO-86VP-V8SB-LTF4
 ❄엘사 드레스 망토X : MO-637M-93V4-0NRC
 
 ❄엘사 성 바닥 타일 디자인 (tFe11zaysfcSQCui님) : MA-2641-3687-5253
 
 ❄엘사 변신 전 머리 : 공주님 머리 (옷가게 아이템)
 ❄엘사 변신 드레스 : 얼음 여왕 드레스 (옷가게 아이템)
 ❄엘사 변신 신발 : 순백 펌프스 (웨딩 아이템)
 ❄엘사 변신 지팡이 : 얼음 지팡이 (겨울 눈사람 레시피)
 -
 ♥로나딩 트위치 생방송 https://www.twitch.tv/ronading
 ♥로나딩 유튜브 멤버십 https://www.youtube.com/channel/UCg7ZESiNqxYUeJilJR4_Y1w/join
 -미공개영상, 비하인드 스토리를 볼 수 있어요
 ♥로나딩 후원 http://twip.kr/donate/s_s_you
 ♥로나딩 팬심 https://fancim.me/celeb/profile.aspx?cu_id=melona
 ♥로나딩 이메일 tvmelona@gmail.com
 
 ♥편집 로나딩
 
 #겨울왕국 #렛잇고 #엘사",2.76E+15
4VfyL_z7SRw,혜안 동물의숲 이제 개 잘합니다ㅋㅋㅋㅋㅋㅋ,1530629,2559,21115,https://i.ytimg.com/vi/4VfyL_z7SRw/hqdefault.jpg,"갚아봐요 대출의 숲
 [업로드] 금,토,일,월 
 [문의메일] zxcv34276@gmail.com
 [인스타그램] @hxxax_
 #혜안 #동물의숲",2.56E+15
BOWtHIlZS5M,[모동숲] 제자,4180678,2317,61303,https://i.ytimg.com/vi/BOWtHIlZS5M/hqdefault.jpg,"모여봐요 동물의숲 애니메이션
 
 #모동숲 #동물의숲 #너굴 #콩돌 #밤돌",2.32E+15
j0rgNHDam78,동물의숲 1500시간 고인물 섬에 초대 받았습니다,3328272,1990,35087,https://i.ytimg.com/vi/j0rgNHDam78/hqdefault.jpg,"느껴봐요 빈부격차
 [업로드] 금,토,일,월 
 [문의메일] zxcv34276@gmail.com
 [인스타그램] @hxxax_
 #혜안 #동물의숲",1.99E+15
4D7ur9z75Vo,동물의 숲 주민 이상형 월드컵,1081355,1820,11645,https://i.ytimg.com/vi/4D7ur9z75Vo/hqdefault.jpg,"식섭아...나를 안뽑은건...유감이지만...어쩔 수 없지....
 
 안녕하세요 선바입니다. 영상 시청해주셔서 감사합니다~!
 
 좋아요와 구독하기 잊지마세요~!
 
 트위치: https://twitch.tv/sunbaking
 
 인스타그램: @sunbaakim
 
 선바팬카페:http://cafe.naver.com/sunbaakim",1.82E+15
F3Fuif1pYt8,새로운 주민을 영입해보겠습니다,1821464,1723,22425,https://i.ytimg.com/vi/F3Fuif1pYt8/hqdefault.jpg,"웰컴투 식섬 실바나
 
 안녕하세요 선바입니다. 영상 시청해주셔서 감사합니다~!
 
 좋아요와 구독하기 잊지마세요~!
 
 트위치: https://twitch.tv/sunbaking
 
 인스타그램: @sunbaakim
 
 선바팬카페:http://cafe.naver.com/sunbaakim",1.72E+15
tLtyzVeXZ2A,혜안 동물의숲 섬에 새로운 주민이 이사 왔습니다!,1641546,1524,17128,https://i.ytimg.com/vi/tLtyzVeXZ2A/hqdefault.jpg,"어서와요 듬성듬섬
 [업로드] 금,토,일,월 
 [문의메일] zxcv34276@gmail.com
 [인스타그램] @hxxax_
 #혜안 #동물의숲",1.52E+15
Raz4sN5p-DE,구독자의 섬에 직접 다녀왔습니다 [동물의숲 자랑대회],1777543,1286,34730,https://i.ytimg.com/vi/Raz4sN5p-DE/hqdefault.jpg,"동숲 자랑대회
 [업로드] 금,토,일,월 
 [문의메일] zxcv34276@gmail.com
 [인스타그램] @hxxax_
 #혜안 #콘테스트 #동물의숲
 Music provided by 브금대통령
 Track : Wind leaves, yet the Moon stays - https://youtu.be/DCE3NY-ls6Q
 Track : Rabbit Hole - https://youtu.be/Xb66dp1QxVY
 Song : 샛별 - Smile / https://youtu.be/ih1yep4F8DE
 flow music - 뽀로로 오프닝 https://youtu.be/oZrkn7KQkrI",1.29E+15
SAaLtpCqUXI,[모동숲] 수영복,4219772,1193,85617,https://i.ytimg.com/vi/SAaLtpCqUXI/hqdefault.jpg,"모여봐요 동물의 숲 애니메이션
 (클레오, 미첼)
 
 #모동숲 #동물의숲",1.19E+15
NRvGWHDGhoA,[모동숲] 주민들과 단체로 낮잠자기,1048707,1013,12653,https://i.ytimg.com/vi/NRvGWHDGhoA/hqdefault.jpg,"#모동숲 #마이디자인 #김비모 #위장
 
 얘두라 미안해..
 
 아웃로 브금 
 https://youtu.be/6_dWNXo-PgI",1.01E+15
