영상ID,제목,조회수,댓글수,좋아요수,게시일,썸네일,영상설명,바이럴지표
aQmPii0oqCs,[ACNH]DUMB DUMB,45126319,5672,1075908,2023-03-18T14:11:32Z,https://i.ytimg.com/vi/aQmPii0oqCs/hqdefault.jpg,#acnh #meme #isabelle,5672107590845126319
aSxBnPugHJ8,쭈니가 K.K. 아이돌 부르는 영상 [VR360],8193437,10368,211460,2020-04-12T15:27:57Z,https://i.ytimg.com/vi/aSxBnPugHJ8/hqdefault.jpg,"모동숲 쭈니가 K.K. 아이돌 부르는 영상 [VR360]
https://twitter.com/Donggorimm

-가사(팬메이드)
(오역 많아요)

풍선껌이 터질 때의
너의 미소를 보고 싶어

When the bubblegum pops
I want you to smile

행복했던 매 순간 나날들을 기억해
회색뿐인 하루하루를 걸어가야 할 때도 있었지

And remember every good time
We had when skies were grey

나의 사랑하는 아이야
왜 울고 있어?

oh, Bubblegum dear
Why are you crying?

너를 불행하게 하는 것들이 널 데려가려 한다면
나는 절대 가만있지 않을 거야

I’ll never let them take
My Bubblegum away.

매순간의 하늘이 푸르르게 변할 때
내가 떠올릴 수 있는 건 너뿐이야

And when the skies
are all blue
All I can think of is you

세상은 너의 미소로 환해지고
네 웃음소리로 밝게 빛나지

The world lights at your smile
And shines at the sound
of your laugh

사랑하는 나의 아이야
다시 너를 만나러 가고 싶어

And Bubblegum dear
I just want to see you again.



Desktop: You can move the view through ASDW or mouse drag.
Mobile: Swipe the screen or move your phone.

Or you can use: Google Cardboard VR Box 360, Oculus Rift VR, Oculus Quest VR, HTC Vive VR, Playstation 4 VR Headset, PSVR",103682114608193437
ua8_fy-BFac,모동숲으로 만든 겨울왕국 - Let it go,7697302,2759,60377,2020-10-20T10:00:11Z,https://i.ytimg.com/vi/ua8_fy-BFac/hqdefault.jpg,"생일날 받은 엘사 케이크를 보고 아이디어가 떠올라서 제작해보았습니다!
재미로 봐주세요!

❄로나딩 마이디자인 ID : MA-9411-8985-5468

❄엘사 드레스 장갑 둘다 있는 버전 : MO-0P03-L5T3-5BXH
❄엘사 드레스 장갑 한쪽만 : MO-MRWT-CJY9-60CW
❄엘사 드레스 장갑X : MO-86VP-V8SB-LTF4
❄엘사 드레스 망토X : MO-637M-93V4-0NRC

❄엘사 성 바닥 타일 디자인 (tFe11zaysfcSQCui님) : MA-2641-3687-5253

❄엘사 변신 전 머리 : 공주님 머리 (옷가게 아이템)
❄엘사 변신 드레스 : 얼음 여왕 드레스 (옷가게 아이템)
❄엘사 변신 신발 : 순백 펌프스 (웨딩 아이템)
❄엘사 변신 지팡이 : 얼음 지팡이 (겨울 눈사람 레시피)
-
♥로나딩 트위치 생방송 https://www.twitch.tv/ronading
♥로나딩 유튜브 멤버십 https://www.youtube.com/channel/UCg7ZESiNqxYUeJilJR4_Y1w/join
-미공개영상, 비하인드 스토리를 볼 수 있어요
♥로나딩 후원 http://twip.kr/donate/s_s_you
♥로나딩 팬심 https://fancim.me/celeb/profile.aspx?cu_id=melona
♥로나딩 이메일 tvmelona@gmail.com

♥편집 로나딩

#겨울왕국 #렛잇고 #엘사",2759603777697302
dUcsgLFX7Os,모동숲 바코드 앞머리가 진화하는 과정,5671137,379,131644,2022-12-03T07:00:17Z,https://i.ytimg.com/vi/dUcsgLFX7Os/hqdefault.jpg,"#shorts 
------------------------------
🌱방송 일정 및 공지는 트게더에서!
☞ https://tgd.kr/s/gwiwol

🌱팬아트는 여기로 보내주세요! 감사합니다
☞ gwiwol@naver.com 

🌱놀러오세요! 트위치 '귀월이' 검색!
☞https://www.twitch.tv/gwiwol/videos

🌱아기달곰이 멤버쉽 (한달 990원)
☞https://www.youtube.com/channel/UCSGYG1lKQVCPxxr-2-Q3dMg/join


#모동숲 #ACNH #あつ森


ㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡ

[Video Source Support]
Youtube channel ""freeticon"" : https://www.youtube.com/c/Freeticon",3791316445671137
4n7RoG2M4ao,나비보벳따우 1시간 연속재생 (개가수 ♪T.K. 하우스),5547755,10223,49061,2020-03-28T08:18:23Z,https://i.ytimg.com/vi/4n7RoG2M4ao/hqdefault.jpg,"3년전 영상인데 이렇게 사랑해주시니 얼떨떨하네요♡
※ 영상을 무단으로 훔쳐가는 분들이 계시는데 그러지 말아주세요ㅜ

#타동숲 #개가수 #노래",10223490615547755
Cxkmd8YLo3w,동물의 숲 플레이리스트,4539180,4041,62791,2019-02-26T03:00:00Z,https://i.ytimg.com/vi/Cxkmd8YLo3w/hqdefault.jpg,PM을 AP로 잘못 썼어요,4041627914539180
SAaLtpCqUXI,[모동숲] 수영복,4219772,1193,85617,2021-11-21T20:53:45Z,https://i.ytimg.com/vi/SAaLtpCqUXI/hqdefault.jpg,"모여봐요 동물의 숲 애니메이션
(클레오, 미첼)

#모동숲 #동물의숲",1193856174219772
BOWtHIlZS5M,[모동숲] 제자,4180678,2317,61303,2020-08-02T15:48:38Z,https://i.ytimg.com/vi/BOWtHIlZS5M/hqdefault.jpg,"모여봐요 동물의숲 애니메이션

#모동숲 #동물의숲 #너굴 #콩돌 #밤돌",2317613034180678
-Dqy1nXnzwc,모동숲 접는 이유 #Shorts,3913174,187,54948,2022-10-15T09:00:00Z,https://i.ytimg.com/vi/-Dqy1nXnzwc/hqdefault.jpg,"#동숲 #동물의숲 #모여봐요동물의숲


◆ 비즈니스 문의 : ad@lolq.co.kr
◆ 개인 문의 : kbd2018@naver.com
◆ 트위치 생방송 : https://www.twitch.tv/kimbangduck
◆ 인스타 : gyeonmoung
◆ 팬카페 : https://cafe.naver.com/gyeonnim",187549483913174
R1eFYwjDXWg,8개월동안 매일 꾸민 역대급 동숲 섬ㄷㄷ,3844213,203,99242,2022-12-14T03:00:14Z,https://i.ytimg.com/vi/R1eFYwjDXWg/hqdefault.jpg,#혜안 #동물의숲 #shorts,203992423844213
r2ko422xW0w,지능이 떨어지는 브금,3603969,5661,121783,2023-02-14T13:12:43Z,https://i.ytimg.com/vi/r2ko422xW0w/hqdefault.jpg,"00:00 In Kapp'n's Bus
03:44 3 PM
05:11 Town Hall (Pelly)
06:33 1 PM
08:25 Town Hall (Phllis)
10:07 2 PM
12:18 Nook's Cranny
13:19 4 PM
15:10 Nook 'n' Go
16:23 7 PM
18:21 Able Sisters
19:28 5 PM
21:00 반복

능능브금
동물의 숲 배경음악 1시간
반갑꼬리

동숲 애플 농장 : 모람이님
칸나 @airikanna  : ran9u님",56611217833603969
j0rgNHDam78,동물의숲 1500시간 고인물 섬에 초대 받았습니다,3328272,1990,35087,2022-10-22T03:00:31Z,https://i.ytimg.com/vi/j0rgNHDam78/hqdefault.jpg,"느껴봐요 빈부격차
[업로드] 금,토,일,월 
[문의메일] zxcv34276@gmail.com
[인스타그램] @hxxax_
#혜안 #동물의숲",1990350873328272
5-bvqy5Dxjo,동물의 숲에서 가장 귀여운 주민 누구?,3241681,2770,37482,2020-04-26T07:00:01Z,https://i.ytimg.com/vi/5-bvqy5Dxjo/hqdefault.jpg,"뽀야미 최고

안녕하세요 선바입니다. 영상 시청해주셔서 감사합니다~!
좋아요와 구독하기 잊지마세요~!
트위치: https://twitch.tv/sunbaking
인스타그램: @sunbaakim
선바팬카페:http://cafe.naver.com/sunbaakim",2770374823241681
29sjV1a2KOo,소름돋는 동물의숲 디테일 #shorts,3162377,155,60988,2022-07-10T03:48:47Z,https://i.ytimg.com/vi/29sjV1a2KOo/hqdefault.jpg,"이정도?!


#모동숲
#동물의숲",155609883162377
